Artist,Song,Year
Adele,Rolling in the Deep,2010
Adele,Someone Like You,2011
Adele,Hello,2015
Adele,Set Fire to the Rain,2011
Adele,Skyfall,2012
Adele,When We Were Young,2015
Aerosmith,Dream On,1973
Amy Winehouse,Rehab,2006
Amy Winehouse,Back to Black,2006
Amy Winehouse,You Know I'm No Good,2007
The Beatles,Hey Jude,1968
The Beatles,Let It Be,1970
The Beatles,Yesterday,1965
The Beatles,Come Together,1969
Billie Eilish,bad guy,2019
Billie Eilish,when the party's over,2018
Billie Eilish,everything i wanted,2019
Billie Eilish,Ocean Eyes,2016
Bruno Mars,Just the Way You Are,2010
Bruno Mars,Grenade,2010
Bruno Mars,Locked Out of Heaven,2012
Bruno Mars,Uptown Funk,2014
Bruno Mars,24K Magic,2016
Bruno Mars,That's What I Like,2017
Bruno Mars,Treasure,2013
Coldplay,Yellow,2000
Coldplay,Clocks,2002
Coldplay,Fix You,2005
Coldplay,Viva La Vida,2008
Coldplay,Paradise,2011
Coldplay,The Scientist,2002
Coldplay,A Sky Full of Stars,2014
Coldplay,Adventure of a Lifetime,2015
Coldplay,Hymn for the Weekend,2015
Coldplay,Something Just Like This,2017
Childish Gambino,Redbone,2016
Childish Gambino,This Is America,2018
Childish Gambino,3005,2013
Childish Gambino,Sober,2014
Chris Stapleton,Tennessee Whiskey,2015
Chris Stapleton,Parachute,2015
Chris Stapleton,Broken Halos,2017
Daniel Caesar,Best Part,2017
Daniel Caesar,Get You,2016
Daniel Caesar,Japanese Denim,2016
Daniel Caesar,Love Again,2019
Drake,God's Plan,2018
Drake,In My Feelings,2018
Drake,Hotline Bling,2015
Elvis Presley,Can't Help Falling in Love,1961
Elvis Presley,Suspicious Minds,1969
Elvis Presley,Jailhouse Rock,1957
Elvis Presley,Hound Dog,1956
Elvis Presley,Love Me Tender,1956
Fleetwood Mac,Go Your Own Way,1977
Fleetwood Mac,Dreams,1977
Fleetwood Mac,The Chain,1977
Florence + The Machine,Dog Days Are Over,2008
Florence + The Machine,Shake It Out,2011
Imagine Dragons,Radioactive,2012
Imagine Dragons,Demons,2013
Imagine Dragons,Believer,2017
Imagine Dragons,Thunder,2017
Imagine Dragons,Whatever It Takes,2017
Jack Harlow,What's Poppin,2020
Jay-Z,Empire State of Mind,2009
Jay-Z,99 Problems,2003
Jay-Z,Run This Town,2009
Jay-Z,Numb/Encore,2004
J. Cole,No Role Modelz,2014
J. Cole,Wet Dreamz,2014
J. Cole,Power Trip,2013
Justin Bieber,Sorry,2015
Justin Bieber,Love Yourself,2015
Justin Bieber,What Do You Mean?,2015
Justin Bieber,Baby,2010
Justin Bieber,Yummy,2020
Justin Bieber,Peaches,2021
Kendrick Lamar,HUMBLE.,2017
Kendrick Lamar,DNA.,2017
Kendrick Lamar,Bitch, Don't Kill My Vibe,2012
Kendrick Lamar,Alright,2015
Kendrick Lamar,LOYALTY.,2017
Kendrick Lamar,King Kunta,2015
Kendrick Lamar,Money Trees,2012
Kendrick Lamar,All The Stars,2018
Led Zeppelin,Stairway to Heaven,1971
Led Zeppelin,Whole Lotta Love,1969
Maroon 5,Sugar,2014
Michael Jackson,Billie Jean,1982
Michael Jackson,Thriller,1982
Michael Jackson,Beat It,1982
Michael Jackson,Smooth Criminal,1987
Michael Jackson,Man in the Mirror,1988
Michael Jackson,Black or White,1991
Michael Jackson,Bad,1987
Michael Jackson,Rock With You,1979
Michael Jackson,Don't Stop 'Til You Get Enough,1979
Michael Jackson,The Way You Make Me Feel,1987
Michael Jackson,Remember the Time,1991
Nat King Cole,Unforgettable,1951
Nat King Cole,Mona Lisa,1950
Ne-Yo,So Sick,2006
OneRepublic,Apologize,2007
OneRepublic,Counting Stars,2013
OneRepublic,Stop and Stare,2008
Dua Lipa,New Rules,2017
Dua Lipa,Don't Start Now,2019
Dua Lipa,Levitating,2020
Usher,Yeah!,2004
Usher,Burn,2004
Tyler, The Creator,EARFQUAKE,2019
Tyler, The Creator,See You Again,2017
Tyler, The Creator,Who Dat Boy,2017
Tyler, The Creator,NEW MAGIC WAND,2019
The Weeknd,Blinding Lights,2019
The Weeknd,Starboy,2016
The Weeknd,Can't Feel My Face,2015
Taylor Swift,Love Story,2008
Taylor Swift,Shake It Off,2014
Taylor Swift,Blank Space,2014
Taylor Swift,You Belong with Me,2008
Taylor Swift,Cardigan,2020
Taylor Swift,Willow,2020
Taylor Swift,Anti-Hero,2022
Anderson .Paak,Come Down,2016
Anderson .Paak,Tints,2018
Anderson .Paak,Make It Better,2019
Lorde,Royals,2013
Lorde,Green Light,2017
Lauryn Hill,Doo Wop (That Thing),1998
Lauryn Hill,Ex-Factor,1998
